epoch,bbox_output_mse,class_output_accuracy,loss,val_bbox_output_mse,val_class_output_accuracy,val_loss
0,109379.265625,0.3448905050754547,109382.1171875,78938.8671875,0.5416666865348816,78940.8828125
1,53017.4375,0.3772158622741699,53024.203125,29920.73046875,0.5416666865348816,29924.955078125
2,22760.8125,0.3620959222316742,22770.982421875,18130.8125,0.5416666865348816,18135.2890625
3,17614.55859375,0.36548489332199097,17625.25,16755.0703125,0.5416666865348816,16758.7109375
4,16227.556640625,0.3985922932624817,16237.328125,15533.7646484375,0.606249988079071,15536.998046875
5,14959.892578125,0.41605839133262634,14969.1025390625,14346.583984375,0.581250011920929,14350.6669921875
6,13489.4189453125,0.42909279465675354,13498.0654296875,13131.728515625,0.5916666388511658,13135.494140625
7,12352.5322265625,0.43717414140701294,12361.048828125,12024.310546875,0.637499988079071,12027.5595703125
8,11291.18359375,0.42987486720085144,11299.337890625,11017.171875,0.625,11020.478515625
9,10432.4892578125,0.43613138794898987,10440.482421875,10164.6630859375,0.637499988079071,10167.8447265625
10,9620.513671875,0.45724713802337646,9628.1123046875,9441.58203125,0.6499999761581421,9444.525390625
11,9014.482421875,0.45750781893730164,9021.634765625,8845.41796875,0.6812499761581421,8847.8916015625
12,8470.3408203125,0.46793535351753235,8477.1748046875,8340.2099609375,0.6458333134651184,8342.88671875
13,8105.27197265625,0.4762773811817169,8111.86474609375,7930.36767578125,0.6708333492279053,7932.45068359375
14,7727.3369140625,0.4781021773815155,7733.794921875,7604.0078125,0.6916666626930237,7606.041015625
15,7508.2724609375,0.4937434792518616,7514.24755859375,7283.3125,0.6666666865348816,7285.66552734375
16,7167.69970703125,0.4895724654197693,7173.49267578125,7018.5947265625,0.7020833492279053,7020.34228515625
17,7028.8232421875,0.49869656562805176,7034.4970703125,6789.84228515625,0.71875,6791.615234375
18,6809.1162109375,0.4976538121700287,6814.44921875,6622.9755859375,0.7145833373069763,6624.751953125
19,6602.810546875,0.530761182308197,6607.6591796875,6416.21630859375,0.7333333492279053,6417.8359375
20,6453.73828125,0.5200729966163635,6458.64306640625,6252.388671875,0.7208333611488342,6253.96240234375
21,6338.05078125,0.5286756753921509,6342.78759765625,6141.34423828125,0.7166666388511658,6142.9306640625
22,6196.8896484375,0.5443170070648193,6201.2822265625,6046.7294921875,0.71875,6048.27001953125
23,6085.458984375,0.542492151260376,6089.6787109375,5891.044921875,0.7562500238418579,5892.35205078125
24,5931.81005859375,0.5469238758087158,5935.94189453125,5774.47998046875,0.7416666746139526,5775.865234375
25,5883.1083984375,0.5643900036811829,5887.0966796875,5691.55419921875,0.7479166388511658,5692.873046875
26,5798.05615234375,0.5628258585929871,5801.75830078125,5601.32470703125,0.7708333134651184,5602.47607421875
27,5638.49755859375,0.5623044967651367,5641.98046875,5526.505859375,0.7729166746139526,5527.58740234375
28,5612.9296875,0.5620437860488892,5616.525390625,5463.1005859375,0.7416666746139526,5464.3720703125
29,5517.29345703125,0.5789885520935059,5520.5205078125,5411.5078125,0.7875000238418579,5412.501953125
30,5470.49951171875,0.5847236514091492,5473.72119140625,5385.068359375,0.7708333134651184,5386.04248046875
31,5389.4619140625,0.5724713206291199,5392.61376953125,5287.83740234375,0.7020833492279053,5289.189453125
32,5365.201171875,0.5873305797576904,5368.208984375,5244.50244140625,0.7958333492279053,5245.44775390625
33,5293.7939453125,0.5818560719490051,5296.65673828125,5200.330078125,0.7979166507720947,5201.21728515625
34,5193.4931640625,0.5946298241615295,5196.19384765625,5140.73095703125,0.7854166626930237,5141.75537109375
35,5190.791015625,0.6001042723655701,5193.54638671875,5111.513671875,0.8145833611488342,5112.37744140625
36,5131.7861328125,0.5995829105377197,5134.2490234375,5089.5419921875,0.7791666388511658,5090.427734375
37,5096.25830078125,0.6079249382019043,5098.68505859375,5041.50927734375,0.7541666626930237,5042.48876953125
38,5033.03955078125,0.6047966480255127,5035.43359375,5014.943359375,0.7833333611488342,5015.80224609375
39,4988.35302734375,0.6227841377258301,4990.6279296875,4992.625,0.7916666865348816,4993.40966796875
40,4940.5390625,0.6128780245780945,4942.77490234375,4942.0576171875,0.7854166626930237,4942.89990234375
41,4900.81591796875,0.618352472782135,4902.95947265625,4929.67626953125,0.8187500238418579,4930.4521484375
42,4868.8408203125,0.6311261653900146,4870.85400390625,4899.359375,0.768750011920929,4900.24462890625
